Name, Position, Year,Spot, Games, WS, VORP, PER, TS, BPM 
Jimmy Jones, PG,1967,13,686,0.161,4.7,17.1,0.567,1.2
Byron Beck, C,1967,15,747,0.137,1.9,16.3,0.54,-0.7
Randolph Mahaffey, PF,1967,16,321,0.084,0,12.3,0.493,0
Phil Jackson, PF,1967,17,807,0.099,3.3,12.5,0.508,-0.5
Bob Netolicky, PF,1967,18,618,0.112,0.1,17.4,0.525,-1.8
Bob Rule, C,1967,19,403,0.092,-0.2,16.6,0.503,-3.5
Elvin Hayes, PF,1968,1,1303,0.116,23.3,17.7,0.491,0.9
Wes Unseld, C,1968,2,984,0.147,32.8,16,0.537,4.4
Bob Kauffman, PF,1968,3,525,0.111,0.2,16.8,0.533,-1.6
Tom Boerwinkle, C,1968,4,635,0.127,7.5,16.3,0.491,3.8
Zaid Abdul-Aziz, C,1968,5,505,0.076,2.1,15.1,0.479,-0.1
Otto Moore, C,1968,6,682,0.07,3.3,13.1,0.481,0
Charlie Paulk, PF,1968,7,120,-0.026,0,9.8,0.418,0
Gary Gregor, SF,1968,8,361,0.023,-0.1,11.7,0.462,-2.8
Ron Williams, PG,1968,9,516,0.098,-0.8,13.5,0.501,-3.8
Bill Hewitt, PF,1968,11,361,0.033,-0.1,10.1,0.458,-2.8
Don Chaney, SG,1968,12,790,0.092,4.6,11.6,0.482,-0.3
Skip Harlicka, PG,1968,13,26,0.119,0,14.8,0.511,0
Shaler Halimon, SF,1968,14,254,0.006,0,11.8,0.432,0
John Trapp, SF,1968,15,303,0.058,0,10.7,0.46,0
Art Harris, SG,1968,16,238,-0.016,0,9.4,0.424,0
Loy Petersen, SG,1968,17,69,0.021,0,9.5,0.436,0
Bob Quick, SF,1968,18,142,0.107,0,13.4,0.529,0
Dick Cunningham, C,1968,21,358,0.054,-0.1,10.5,0.444,-11.8
Gene Moore, C,1968,22,465,0.101,0.1,15.8,0.5,-1.6
Kareem Abdul-Jabbar, C,1969,1,1560,0.228,86,24.6,0.592,5.8
Neal Walk, C,1969,2,568,0.105,3.7,16.9,0.501,0.8
Lucius Allen, PG,1969,3,702,0.1,7.6,15.5,0.504,0.5
Terry Driscoll, PF,1969,4,274,0.068,-0.1,10.9,0.463,-2.5
Larry Cannon, SG,1969,5,213,0.055,-0.3,14.8,0.482,-5.3
Bingo Smith, SG,1969,6,865,0.071,1.5,14.1,0.479,-1.6
Bob Portman, SG,1969,7,221,0.071,0,13,0.485,0
Herm Gilliam, SG,1969,8,578,0.066,2.2,13.8,0.474,-0.7
Butch Beard, PG,1969,10,605,0.11,8.8,15,0.54,1.6
Willie McCarter, SG,1969,12,155,-0.018,0,8.8,0.425,0
Mike Davis, PF,1969,14,8,0.235,0,21.1,0.486,-7.5
Rick Roberson, C,1969,15,423,0.068,0.1,13.2,0.476,-1.9
Simmie Hill, SF,1969,16,252,0.057,0,11.5,0.479,-2.1
Bob Greacen, SF,1969,17,47,-0.013,0,7.9,0.408,0
Ronald Taylor, C,1969,18,77,0.079,0,9.1,0.485,0
Willie Norwood, SF,1969,19,430,0.115,1.5,13.9,0.538,-0.8
Ken Spain, ,1969,20,11,0,0,5.2,0.407,0
Bernie Williams, SG,1969,21,283,0.015,-0.1,11.2,0.455,-9.8
Johnny Baum, SF,1969,23,244,0.081,-0.1,13.8,0.516,-2.5
Gene Williams, ,1969,24,1,-0.133,0,-22.7,0,0
Wally Anderzunas, SF,1969,25,44,-0.023,0,8.8,0.427,0
Bill Bunting, SF,1969,26,145,0.067,0,9.6,0.505,0
Willie Scott, ,1969,29,8,-0.065,0,-7.1,0.368,0
Bob Lanier, C,1970,1,959,0.175,41.9,21.7,0.559,5
Rudy Tomjanovich, PF,1970,2,768,0.131,12.8,16.9,0.539,0.7
Pete Maravich, SG,1970,3,658,0.092,11.4,18.4,0.5,0.8
Dave Cowens, C,1970,4,766,0.14,26.2,17,0.496,3.2
Sam Lacey, C,1970,5,1002,0.077,29.7,14.2,0.48,3
Jim Ard, C,1970,6,431,0.034,-1.9,10.6,0.447,-4.4
John Johnson, SF,1970,7,869,0.069,6.4,14.1,0.491,-0.6
Geoff Petrie, SG,1970,8,446,0.075,0.3,15.8,0.502,-1.8
George Johnson, PF,1970,9,464,0.068,3.4,14,0.51,-0.6
Greg Howard, PF,1970,10,92,0.034,0,10.5,0.443,0
Jimmy Collins, SG,1970,11,74,0.044,0,12.2,0.454,0
Al Henry, C,1970,12,49,0.074,0,13.6,0.492,0
Jim McMillian, SF,1970,13,631,0.109,6.9,13.9,0.525,0.2
John Vallely, SG,1970,14,100,-0.02,0,9.6,0.427,0
John Hummer, PF,1970,15,327,0.031,-0.6,10.2,0.465,-3.1
Gary Freeman, SF,1970,16,52,0.155,0,15,0.551,0
Mike Price, SG,1970,17,123,0.018,0,9.1,0.446,0
Calvin Murphy, PG,1970,18,1002,0.132,16.4,18,0.536,0.7
Jake Ford, ,1970,20,31,0.133,0,15.4,0.547,0
Rex Morgan, SG,1970,21,62,0.063,0,10,0.454,0
Pete Cross, C,1970,23,182,0.053,0,12.5,0.484,0
Cornell Warner, C,1970,24,445,0.072,1.2,11.3,0.486,-1.3
Walt Gilmore, PF,1970,25,27,0.033,0,6.4,0.443,0
Dave Sorenson, PF,1970,26,213,0.067,0,14.5,0.492,0
Fred Taylor, SG,1970,27,88,-0.035,0,8.7,0.41,0
Paul Ruffner, C,1970,28,133,0.036,-0.2,13.6,0.505,-7.4
Joe DePre, SG,1970,29,119,0.064,0,7.6,0.523,0
Dan Hester, C,1970,31,42,0.042,0,14.9,0.457,0
Bill Zopf, PG,1970,33,53,-0.011,0,9.6,0.391,0
Howie Wright, SG,1970,34,53,0.001,0,6.5,0.444,0
Austin Carr, SG,1971,1,682,0.08,4,15,0.491,-1
Sidney Wicks, PF,1971,2,760,0.079,12.9,16.2,0.502,0.6
Elmore Smith, C,1971,3,562,0.093,7,16.2,0.503,0.3
Ken Durrett, SF,1971,4,120,0.025,-0.9,10.7,0.474,-5.7
George Trapp, PF,1971,5,379,0.059,-1.9,13.3,0.48,-3.8
Fred Brown, SG,1971,6,963,0.124,16.6,17.7,0.518,1
Cliff Meely, PF,1971,7,318,0.035,-1.2,12.3,0.449,-3.7
Darnell Hillman, PF,1971,8,682,0.085,6.6,13.4,0.509,-0.1
Stan Love, PF,1971,9,239,0.076,-0.5,13.2,0.482,-3.6
Clarence Glover, PF,1971,10,25,0.103,0,14,0.47,0
Curtis Rowe, PF,1971,11,590,0.09,2,12.9,0.519,-1.4
Jim Cleamons, PG,1971,13,652,0.082,8,12.6,0.501,0.1
John Roche, SG,1971,14,479,0.075,-1.3,12.6,0.537,-2.7
Kenny McIntosh, SF,1971,15,177,-0.02,-1.4,6.8,0.386,-4.5
Dean Meminger, SG,1971,16,416,0.093,2.4,12.1,0.512,-0.4
Collis Jones, SF,1971,17,298,0.082,0.8,13.6,0.5,-0.8
Steve Patterson, C,1971,18,350,0.041,0.4,11.2,0.426,-1.6
Fred Hilton, SG,1971,19,120,-0.08,0,11.3,0.414,0
John Mengelt, SG,1971,21,636,0.105,-0.4,14.6,0.536,-2.1
Ted McClain, SG,1971,22,555,0.08,5.9,12.5,0.501,0.4
Jim McDaniels, C,1971,23,271,0.083,-1,16.8,0.498,-4.2
Mike Newlin, SG,1971,24,837,0.098,9.3,15.5,0.537,-0.2
Charlie Yelverton, SG,1971,25,69,-0.018,0,10.3,0.445,0
Richard Fisher, PF,1971,27,12,0.151,0,25.1,0.537,0
Isaiah Wilson, SG,1971,29,78,-0.007,0,13.3,0.459,0
Spencer Haywood, PF,1971,30,844,0.128,5.5,19.1,0.521,-0.8
Howard Porter, SF,1971,32,457,0.099,-3.4,14.4,0.5,-3.8
Willie Long, PF,1971,35,213,0.065,0,12.9,0.485,-2
Bob McAdoo, C,1972,2,852,0.151,26.5,20.7,0.551,2.1
Corky Calhoun, SF,1972,4,542,0.064,-0.2,9.3,0.501,-2.1
Tom Riker, C,1972,8,82,0.033,-0.5,10.9,0.443,-5.7
Bob Nash, SF,1972,9,236,0.042,-0.9,11.1,0.463,-3.4
Paul Westphal, SG,1972,10,823,0.155,18,19.4,0.558,1.5
Ralph Simpson, SG,1972,11,705,0.071,3.4,16.2,0.495,-0.9
Julius Erving, SF,1972,12,1243,0.192,79.9,23.6,0.558,6.2
Travis Grant, SF,1972,13,201,0.129,1.8,18.7,0.559,-0.3
Bob Davis, SF,1972,14,9,-0.396,0,-1,0.261,0
Harold Fox, PG,1972,15,10,-0.014,0,10,0.436,0
Jim Price, PG,1972,16,510,0.074,5.6,13.7,0.485,-0.2
Chris Ford, SG,1972,17,794,0.077,12.4,12.2,0.494,0.4
Joby Wright, PF,1972,18,103,0.022,-1.5,8.8,0.474,-9.1
Sam Sibert, PF,1972,19,5,-0.105,0,6.4,0.395,0
John Gianelli, C,1972,20,541,0.081,4,11.7,0.5,-0.8
Steve Bracey, PG,1972,21,187,0.066,-0.7,12.6,0.495,-3.6
Paul Stovall, SF,1972,22,38,0.026,0,12.1,0.475,-2.3
Brian Taylor, PG,1972,23,601,0.117,16.1,14.8,0.547,1.7
Steve Hawes, PF,1972,24,688,0.112,11.8,14.3,0.53,1
Dave Twardzik, PG,1972,26,536,0.121,8.4,13.8,0.618,0.8
Dennis Wuycik, SF,1972,27,157,0.063,-0.4,9,0.501,-4
Mike Ratliff, C,1972,28,60,-0.014,0,10.2,0.443,-8.7
Chuck Terry, SF,1972,29,341,0.06,-0.6,8.5,0.452,-2.5
Ollie Johnson, SF,1972,30,690,0.089,2.5,12.8,0.538,-1.2
Doug Collins, SG,1973,1,415,0.131,8.5,16.1,0.557,0.4
Jim Brewer, PF,1973,2,703,0.088,11.1,12.2,0.467,0.8
Ernie DiGregorio, PG,1973,3,312,0.016,-5,12.2,0.457,-4.5
Mike Green, C,1973,4,459,0.117,7,16.3,0.519,0.5
Kermit Washington, PF,1973,5,507,0.135,11.7,16,0.565,1.6
Ed Ratleff, SF,1973,6,338,0.078,5.1,13.3,0.498,0.4
Ron Behagen, PF,1973,7,388,0.068,0.9,14.2,0.472,-1.6
Mike Bantom, SF,1973,8,706,0.085,9.4,14.3,0.508,-0.1
Dwight Jones, PF,1973,9,766,0.081,3,13.2,0.52,-1.3
John Brown, SF,1973,10,486,0.077,1.5,11.7,0.517,-1.4
Kevin Joyce, SG,1973,11,180,0.029,-5.5,10,0.447,-4.3
Kevin Kunnert, C,1973,12,555,0.087,5.5,14.6,0.499,-0.2
Nick Weatherspoon, SF,1973,13,453,0.075,-0.8,12.8,0.49,-2.3
Mel Davis, PF,1973,14,190,0.006,-2.1,12,0.407,-5.2
Barry Parkhill, SG,1973,15,173,-0.045,-3.6,6.2,0.432,-6.5
Swen Nater, C,1973,16,722,0.135,13,17.6,0.572,0.5
Steve Downing, C,1973,17,27,-0.06,-0.2,9.2,0.383,-7.3
Louie Nelson, SG,1973,19,224,0.062,-0.2,12.6,0.49,-2.2
Mike D'Antoni, SG,1973,20,180,0.036,-0.1,10.2,0.444,-2.2
Allan Bristow, SF,1973,21,695,0.083,6.3,14.6,0.52,-0.2
George McGinnis, PF,1973,22,842,0.127,31.3,20,0.509,3.5
Billy Schaeffer, SF,1973,23,137,0.084,-0.6,12.1,0.504,-3.3
Kevin Stacom, SG,1973,24,347,0.032,-3.2,10.6,0.449,-4.7
Larry McNeill, PF,1973,25,297,0.127,0.5,16.7,0.537,-1.6
Tom Ingelsby, PG,1973,27,75,0.053,-0.4,11,0.478,-4
Patrick McFarland, SG,1973,28,148,0.059,-0.1,13.3,0.491,-2.2
Derrek Dickey, PF,1973,29,321,0.1,-0.1,13.2,0.498,-2.1
Jim Chones, C,1973,31,788,0.093,7.6,13.9,0.506,-0.6
Caldwell Jones, C,1973,32,1299,0.091,21.9,12.1,0.521,0.1
Gary Melchionni, SG,1973,33,137,0.067,-0.8,12.6,0.494,-3.1
Phil Hankinson, SF,1973,35,31,0.143,-0.1,18,0.51,-5.1
Bill Walton, C,1974,1,468,0.142,21.4,20,0.551,4.4
