Name, Position, Year,Spot, Games, WS, VORP, PER, TS, BPM 
John Williams, SF,1986,12,435,0.087,9.2,14.6,0.498,1.3
Walter Berry, PF,1986,14,205,0.081,0.8,16.6,0.563,-1.3
Dell Curry, SG,1986,15,1083,0.085,10.1,16,0.537,-0.3
Harold Pressley, SF,1986,17,299,0.07,4.6,13.8,0.509,0.7
Mark Alarie, PF,1986,18,325,0.073,-0.3,13,0.514,-2.2
Billy Thompson, SF,1986,19,300,0.069,3.2,13.2,0.535,-0.1
Buck Johnson, SF,1986,20,505,0.084,3.7,11.9,0.525,-0.7
Anthony Jones, SG,1986,21,164,0.022,-0.7,9.8,0.449,-3.7
Scott Skiles, PG,1986,22,600,0.087,3.2,14.4,0.552,-1.2
Arvydas Sabonis, C,1986,24,470,0.2,16.6,21.2,0.574,3.8
Mark Price, PG,1986,25,722,0.158,22.7,19.6,0.586,2.2
Greg Dreiling, C,1986,26,474,0.045,-2.3,7.4,0.517,-4.1
Dennis Rodman, PF,1986,27,911,0.15,36.5,14.6,0.546,3
Larry Krystkowiak, PF,1986,28,420,0.082,-0.2,12,0.52,-2.1
Johnny Newman, SF,1986,29,1159,0.085,4.8,12.9,0.558,-1.3
Nate McMillan, PG,1986,30,796,0.118,25.7,14.5,0.508,3
Cedric Henderson, SF,1986,32,260,0.026,-0.7,9.2,0.474,-2.4
Kevin Duckworth, C,1986,33,684,0.068,-7.4,11.9,0.515,-3.7
Johnny Rogers, PF,1986,34,69,0.032,-0.5,9.7,0.486,-5.2
Milt Wagner, SG,1986,35,53,0.039,-0.5,10.6,0.485,-6.3
Rafael Addison, SF,1986,39,379,0.041,-3,10.5,0.496,-4.1
Otis Smith, SG,1986,41,375,0.076,3.8,15.7,0.512,0
Dave Feitl, C,1986,43,275,0.022,-3.5,9.8,0.482,-6.7
David Wingate, SG,1986,44,740,0.042,-2,10,0.494,-2.6
Keith Smith, SG,1986,45,42,-0.003,-0.3,6,0.425,-4.9
Jeff Hornacek, SG,1986,46,1077,0.154,43.2,17.7,0.582,3
Michael Jackson, PG,1986,47,89,-0.011,-1.1,7.7,0.42,-7.1
David Robinson, C,1987,1,987,0.25,80.9,26.2,0.583,7.4
Armen Gilliam, PF,1987,2,929,0.106,6.2,16.4,0.547,-1.1
Dennis Hopson, SG,1987,3,334,0.046,-0.3,13.3,0.496,-2.1
Reggie Williams, SF,1987,4,206,0.082,0.1,14.3,0.558,-1.9
Scottie Pippen, SF,1987,5,1178,0.146,69.6,18.6,0.536,4.7
Kenny Smith, PG,1987,6,737,0.101,4.4,14.9,0.57,-1.2
Kevin Johnson, PG,1987,7,735,0.178,28,20.7,0.585,2.4
Olden Polynice, C,1987,8,1058,0.09,2.7,13.2,0.518,-1.6
Derrick McKey, SF,1987,9,937,0.109,27.3,13.9,0.551,2
Horace Grant, PF,1987,10,1165,0.147,44.4,16,0.54,2.6
Reggie Miller, SG,1987,11,1389,0.176,63.2,18.4,0.614,3.3
Muggsy Bogues, PG,1987,12,889,0.102,5.2,15,0.506,-1.2
Joe Wolf, C,1987,13,592,0.017,-5.2,7.8,0.458,-4.1
Tellis Frank, PF,1987,14,264,0.041,-1.2,10.3,0.499,-3
Jose Ortiz, PF,1987,15,64,0.002,-0.3,9.4,0.476,-5.4
Chris Welp, C,1987,16,109,0.042,-0.4,8.7,0.492,-3.5
Ronnie Murphy, SF,1987,17,18,-0.13,-0.2,2.9,0.334,-10.7
Mark Jackson, PG,1987,18,1296,0.113,27.1,16,0.522,0.7
Ken Norman, SF,1987,19,646,0.069,6.5,14.5,0.514,-0.6
Jim Farmer, SG,1987,20,136,0.024,-1.1,10.9,0.49,-5
Dallas Comegys, PF,1987,21,142,0.024,-1,10.7,0.509,-3.8
Reggie Lewis, SG,1987,22,450,0.127,13.1,17.1,0.538,1.5
Greg Anderson, PF,1987,23,680,0.064,-2.6,13,0.513,-2.7
Ron Moore, C,1987,25,14,-0.074,-0.1,2,0.369,-12
Steve Alford, PG,1987,26,169,0.093,-0.2,14.4,0.533,-2.4
Nate Blackwell, PG,1987,27,10,-0.045,-0.2,6.1,0.424,-8.6
Rickie Winslow, SF,1987,28,7,-0.165,-0.1,-3.4,0.252,-11
Nikita Wilson, SF,1987,30,15,-0.099,-0.2,2.3,0.371,-13
Andre Moore, PF-SF,1987,31,10,-0.013,0,12.1,0.393,-4.1
Bob McCann, SF,1987,32,178,0.041,-0.8,10.2,0.507,-3.3
Tony White, PG,1987,33,49,-0.025,-0.8,9.4,0.478,-7.5
Brian Rowsom, PF,1987,34,82,0.107,0,14.5,0.542,-2.1
Doug Lee, SG,1987,35,73,0.086,-0.1,11,0.507,-2.9
Duane Washington, SG,1987,36,19,0.092,0,13.4,0.484,-1.7
Norris Coleman, SF,1987,38,29,-0.046,-0.7,6.6,0.37,-8.3
Vincent Askew, SG,1987,39,467,0.113,3.6,12.6,0.551,-0.5
Winston Garland, PG,1987,40,511,0.051,0.5,12.5,0.487,-1.8
Kannard Johnson, SF,1987,41,4,-0.238,0,-4.6,0.333,-12.2
Brad Lohaus, PF,1987,45,656,0.07,2.5,12.3,0.516,-1
Danny Manning, PF,1988,1,883,0.109,21.7,16.9,0.552,1.6
Rik Smits, C,1988,2,867,0.118,8.5,17.9,0.548,-0.5
Charles Smith, SG,1988,3,142,0.036,0.2,11.5,0.472,-1.7
Chris Morris, SF,1988,4,747,0.096,16.7,15.1,0.513,1.5
Mitch Richmond, SG,1988,5,976,0.111,25,17.6,0.557,0.9
Hersey Hawkins, SG,1988,6,983,0.136,35.7,16.3,0.585,2.4
Tim Perry, PF,1988,7,481,0.074,3,12.4,0.531,-0.7
Rex Chapman, SG,1988,8,666,0.061,2.2,13.9,0.514,-1.5
Rony Seikaly, C,1988,9,678,0.084,2.2,15.7,0.538,-1.6
Willie Anderson, SG,1988,10,555,0.084,8.3,13.8,0.517,0
Will Perdue, C,1988,11,792,0.103,2.3,13.6,0.537,-1.3
Harvey Grant, PF,1988,12,783,0.085,6.5,12.7,0.5,-0.7
Jeff Grayer, SG,1988,13,438,0.052,-1.3,12,0.495,-2.6
Dan Majerle, SG,1988,14,955,0.125,35.6,13.8,0.538,2.7
Gary Grant, PG,1988,15,552,0.046,0.4,13.4,0.491,-1.9
Derrick Chievous, SF,1988,16,154,0.057,-1.1,11.8,0.511,-4
Eric Leckner, C,1988,17,449,0.054,-4,9.8,0.549,-4.9
Ricky Berry, SG,1988,18,64,0.083,0.1,13.1,0.552,-1.7
Rod Strickland, PG,1988,19,1094,0.122,30.9,18,0.516,1.6
Kevin Edwards, SG,1988,20,604,0.039,1.6,12.7,0.48,-1.6
Mark Bryant, PF,1988,21,797,0.093,-0.8,10.9,0.538,-2.2
Randolph Keys, SF,1988,22,241,0.034,-1,10.3,0.472,-3.2
Jerome Lane, PF,1988,23,218,0.034,0.7,12.6,0.44,-1.2
Brian Shaw, PG,1988,24,943,0.053,3.5,11.7,0.471,-1.4
David Rivers, PG,1988,25,114,-0.01,-1,9.7,0.471,-5.2
Rolando Ferreira, C,1988,26,12,-0.352,-0.2,-7.6,0.209,-24
Shelton Jones, SF,1988,27,51,0.022,-0.4,10.4,0.5,-4.1
Andrew Lang, C,1988,28,737,0.089,3.5,11.7,0.516,-1.1
Vinny Del Negro, SG,1988,29,771,0.101,4.5,13.5,0.534,-1.1
Fennis Dembo, SF,1988,30,31,-0.037,-0.1,7.8,0.388,-8.8
Everette Stephens, PG,1988,31,38,-0.083,-0.3,7.4,0.415,-7.1
Charles Shackleford, C,1988,32,303,0.076,-1.1,13.1,0.508,-3
Grant Long, PF,1988,33,1003,0.101,18.5,13.3,0.536,0.6
Tom Tolbert, PF,1988,34,312,0.056,-1.2,10.5,0.522,-2.8
Sylvester Gray, SF,1988,35,55,0.028,0,11.2,0.471,-2.1
Ledell Eackles, SG,1988,36,441,0.058,-3.2,13.8,0.513,-3.4
Greg Butler, C,1988,37,55,-0.078,-0.6,2.9,0.416,-12.5
Dean Garrett, C,1988,38,359,0.097,1.5,13.3,0.513,-1.1
Tito Horford, C,1988,39,63,-0.069,-0.8,4.4,0.361,-10.1
Orlando Graham, PF,1988,40,7,-0.047,-0.1,6.7,0.34,-16.4
Keith Smart, PG,1988,41,2,-0.175,0,0,0.347,-14.5
Todd Mitchell, SF,1988,43,24,-0.008,-0.3,7.5,0.491,-5.5
Anthony Taylor, PG,1988,44,21,0.029,-0.2,11.1,0.436,-3.8
Tom Garrick, SG,1988,45,251,0.06,-0.3,11.6,0.518,-2.2
Morlon Wiley, PG,1988,46,295,0.034,-0.9,10.6,0.495,-3
Vernon Maxwell, SG,1988,47,855,0.054,3.5,12.7,0.498,-1.4
Micheal Williams, PG,1988,48,413,0.132,9.2,17.9,0.573,1.5
Steve Kerr, PG,1988,50,910,0.14,5.8,13.1,0.593,-0.6
Pervis Ellison, C,1989,1,474,0.09,7.4,15.2,0.546,0.5
Danny Ferry, PF,1989,2,917,0.092,5,11.8,0.536,-0.9
Sean Elliott, SF,1989,3,742,0.109,16.1,13.9,0.553,0.6
Glen Rice, SG,1989,4,16,-0.065,-0.2,3.8,0.372,-7.3
J.R. Reid, PF,1989,5,672,0.07,-0.2,11.9,0.524,-2
Stacey King, C,1989,6,438,0.071,-1.9,11.9,0.53,-3
George McCloud, SF,1989,7,766,0.068,5.6,12.7,0.515,-0.7
Randy White, PF,1989,8,281,0.017,-3.3,11,0.462,-4.4
Tom Hammonds, PF,1989,9,687,0.068,-6,11,0.525,-4.3
Pooh Richardson, PG,1989,10,639,0.066,5.5,14.9,0.486,-0.9
Nick Anderson, SG,1989,11,800,0.106,23.5,15.8,0.525,1.7
Mookie Blaylock, PG,1989,12,889,0.111,38.9,16.8,0.488,3
Michael Smith, PF,1989,13,449,0.107,8.7,13.9,0.552,1.3
Tim Hardaway, SG,1989,14,338,0.075,0.8,13.5,0.544,-1.6
Todd Lichti, SG,1989,15,237,0.063,-0.8,12.2,0.517,-2.7
Dana Barros, PG,1989,16,850,0.122,10.6,16.4,0.572,0.2
Shawn Kemp, PF,1989,17,1051,0.147,27.3,19.1,0.555,1.7
B.J. Armstrong, PG,1989,18,747,0.121,1.9,14.5,0.555,-1.6
Kenny Payne, SF,1989,19,144,-0.005,-1.3,10.3,0.453,-6.6
Jeff Sanders, PF,1989,20,55,-0.008,-0.4,7.1,0.418,-5.2
Blue Edwards, SF,1989,21,704,0.063,5.7,12.8,0.537,-0.8
Byron Irvin, SG,1989,22,87,0.121,0.2,16,0.538,-1
Roy Marble, SG,1989,23,29,-0.122,-0.3,4,0.327,-8.5
Anthony Cook, PF,1989,24,116,0.033,-0.8,11,0.464,-4.2
John Morton, SG,1989,25,128,0.013,-1.3,10.5,0.481,-4.7
Vlade Divac, C,1989,26,1134,0.137,45.3,17.7,0.543,3.3
Kenny Battle, SG,1989,27,134,0.098,0.9,12.5,0.555,-0.1
Sherman Douglas, PG,1989,28,765,0.075,2.6,15.1,0.532,-1.5
Dyron Nix, SF,1989,29,20,-0.015,-0.2,8.2,0.424,-8.3
Frank Kornet, PF,1989,30,89,-0.004,-0.6,6.2,0.43,-6
Jeff Martin, SG,1989,31,143,0.038,-1.2,9.3,0.468,-3.8
Stanley Brundy, SF,1989,32,16,0.057,0,10.1,0.488,-2.5
Jay Edwards, SG,1989,33,4,0.022,0,7.8,0.421,-5.1
Gary Leonard, C,1989,34,31,0.029,-0.2,8.6,0.48,-6.3
Pat Durham, SF,1989,35,64,0.037,-0.2,11.4,0.522,-2.8
Clifford Robinson, PF,1989,36,1380,0.101,28.7,14.5,0.512,0.7
Michael Ansley, SF,1989,37,149,0.142,0.5,17,0.567,-1.1
Doug West, SG,1989,38,676,0.051,-2.2,11.5,0.529,-2.5
Ed Horton, PF,1989,39,45,0.05,-0.2,14.5,0.525,-4.1
Dino Radja, PF,1989,40,224,0.094,2.3,17.4,0.538,-0.7
Doug Roth, C,1989,41,42,0.052,-0.2,8.2,0.439,-3.7
Chucky Brown, SF,1989,43,694,0.076,-3,11.6,0.527,-3
Scott Haffner, PG,1989,45,50,-0.012,-0.7,8.4,0.426,-6.6
Ricky Blanton, SF,1989,46,2,0.088,0,19.3,0.429,2.6
Haywoode Workman, PG,1989,49,359,0.071,1.5,12,0.495,-1.2
Brian Quinnett, SG,1989,50,138,0.027,-0.7,8.4,0.461,-3.7
Mike Morrison, SG,1989,51,36,-0.106,-0.3,4.2,0.443,-11
Greg Grant, PG,1989,52,274,0.023,-3,9.9,0.435,-5.6
Derrick Coleman, PF,1990,1,781,0.119,21.7,18,0.526,1.3
Gary Payton, PG,1990,2,29,0.005,-0.2,8.1,0.436,-4.6
Mahmoud Abdul-Rauf, PG,1990,3,586,0.077,-0.7,15.4,0.506,-2.2
Dennis Scott, SF,1990,4,629,0.089,7.3,13.4,0.53,-0.4
Kendall Gill, SG,1990,5,966,0.078,16.9,14.7,0.493,0.3
Felton Spencer, C,1990,6,640,0.081,-1.9,10.8,0.539,-2.6
Lionel Simmons, SF,1990,7,454,0.06,7.2,14.7,0.492,0.1
Bo Kimble, SG,1990,8,105,0.004,-1.1,8.1,0.454,-5.2
Willie Burton, SF,1990,9,316,0.065,-1.4,12.7,0.526,-2.8
Rumeal Robinson, PG,1990,10,336,0.041,-0.3,12.9,0.483,-2.2
Tyrone Hill, PF,1990,11,801,0.12,5.7,14,0.544,-1
Alec Kessler, PF,1990,12,210,0.033,-3.2,9.6,0.479,-6.3
Loy Vaught, PF,1990,13,689,0.101,1.8,15.4,0.53,-1.6
Travis Mays, PG,1990,14,115,0.039,-0.5,11.7,0.518,-2.6
Dave Jamerson, SG,1990,15,90,0.018,-0.5,12,0.455,-5.2
Terry Mills, PF,1990,16,678,0.097,5.5,14.7,0.531,-0.7
Jerrod Mustaf, PF,1990,17,179,0.043,-1.2,10.7,0.489,-4.4
Duane Causwell, C,1990,18,541,0.081,1.6,11.7,0.541,-1.3
Dee Brown, PG,1990,19,68,0.008,-0.4,7.9,0.423,-4.1
Gerald Glass, SF,1990,20,201,0.025,-0.4,13.3,0.46,-2.5
Jayson Williams, PF,1990,21,475,0.098,0.1,15.1,0.477,-2
Tate George, SG,1990,22,177,0.032,-1.8,10.7,0.464,-5.5
Anthony Bonner, PF,1990,23,318,0.07,2.8,11.5,0.499,-0.5
Dwayne Schintzius, C,1990,24,217,0.024,-1.4,9.4,0.429,-4.9
Alaa Abdelnaby, PF,1990,25,256,0.072,-2.3,13,0.532,-4.8
Lance Blanks, SG,1990,26,142,0.031,-0.5,8.8,0.496,-3.8
Elden Campbell, C,1990,27,1044,0.117,10.8,15.9,0.513,-0.3
Les Jepsen, C,1990,28,52,0.031,-0.3,8.8,0.385,-9.1
Toni Kukoc, SF,1990,29,846,0.129,24.7,17.3,0.532,2.4
Carl Herrera, PF,1990,30,465,0.054,-2.6,10.5,0.505,-3.3
Negele Knight, PG,1990,31,276,0.044,-3,11.3,0.488,-4.6
Brian Oliver, SG,1990,32,118,-0.02,-1.3,8.1,0.436,-6.4
Walter Palmer, C,1990,33,48,-0.013,-0.3,11,0.444,-7.6
Kevin Pritchard, PG,1990,34,94,0.017,-1,8.2,0.485,-5.6
Greg Foster, PF,1990,35,656,0.033,-6.3,8.9,0.482,-5.2
Trevor Wilson, PF,1990,36,103,0.023,-0.6,11.3,0.484,-3.5
A.J. English, SG,1990,37,151,0.017,-2.4,11.6,0.48,-5.1
Jud Buechler, SF,1990,38,720,0.094,2.7,11.2,0.505,-0.7
Steve Scheffler, C,1990,39,174,0.153,0,13.5,0.617,-2.1
Bimbo Coles, PG,1990,40,852,0.065,-0.7,12.1,0.496,-2.1
Marcus Liberty, SF,1990,42,267,0.042,-1.1,12.2,0.466,-2.9
Tony Massenburg, PF,1990,43,683,0.061,-8,11.9,0.519,-4.6
Steve Henson, PG,1990,44,238,0.079,-1.1,11.5,0.532,-3.9
Antonio Davis, PF,1990,45,903,0.11,8.8,14.1,0.518,-0.7
Kenny Williams, SF,1990,46,260,0.122,1.4,16.1,0.533,0
Derek Strong, PF,1990,47,456,0.104,-2.3,13.8,0.513,-3
Cedric Ceballos, SF,1990,48,609,0.132,6,19.3,0.559,-0.4
Milos Babic, C,1990,50,21,-0.028,-0.1,10.9,0.453,-6.3
Tony Smith, SG,1990,51,457,0.044,-1.1,11.4,0.484,-2.6
Stefano Rusconi, PF,1990,52,7,-0.104,0,2.4,0.357,-7.6
Sean Higgins, SF,1990,54,220,0.006,-2.7,9.5,0.495,-5.2
Larry Johnson, PF,1991,1,707,0.13,28.3,16.3,0.551,2.4
Kenny Anderson, PG,1991,2,858,0.116,18,16.4,0.501,0.8
Billy Owens, SF,1991,3,600,0.078,11.2,14.4,0.516,0.5
Dikembe Mutombo, C,1991,4,1196,0.153,38.2,17.2,0.573,2.1
Steven Smith, PF,1991,5,8,-0.154,-0.1,-1.8,0.282,-17.2
Doug Smith, PF,1991,6,296,0.024,-1.5,11.7,0.457,-3
Luc Longley, C,1991,7,567,0.07,1.5,11.8,0.503,-1.5
Mark Macon, SG,1991,8,251,0.001,-1.5,8.9,0.429,-3.2
Stacey Augmon, SG,1991,9,1001,0.097,9.8,13.7,0.524,-0.2
Bison Dele, C,1991,10,413,0.109,4.4,16.5,0.562,-0.3
Terrell Brandon, PG,1991,11,724,0.147,23.7,19.7,0.519,2.4
Greg Anthony, PG,1991,12,757,0.109,8.1,14.5,0.51,0
Dale Davis, C,1991,13,1094,0.141,28.6,15.2,0.546,1.8
Rich King, C,1991,14,72,0.036,-0.3,10.2,0.471,-5.8
Anthony Avent, PF,1991,15,352,0.002,-5,8.8,0.439,-4.9
Chris Gatling, PF,1991,16,700,0.112,-0.2,17.6,0.555,-2.1
Victor Alexander, C,1991,17,286,0.073,-0.9,13.7,0.541,-2.6
Kevin Brooks, SF,1991,18,126,-0.004,-1.5,8.3,0.453,-7.9
John Turner, SF,1991,20,42,-0.021,-0.5,7.8,0.472,-7.4
Eric Murdock, PG,1991,21,508,0.103,9.4,17.4,0.523,1.1
LeRon Ellis, C,1991,22,91,0.069,-0.3,11.9,0.47,-3.2
Stanley Roberts, C,1991,23,300,0.066,-1.9,13.6,0.511,-3.3
Rick Fox, SF,1991,24,930,0.09,17.6,13.6,0.538,1
Mark Randall, PF,1991,26,127,0.054,-0.4,11.6,0.5,-3.6
Pete Chilcutt, PF,1991,27,584,0.06,0.3,11.9,0.498,-1.9
Kevin Lynch, SG,1991,28,95,0.016,-0.6,7.7,0.486,-4
Rodney Monroe, SG,1991,30,38,-0.035,-0.4,8.8,0.425,-6.9
Randy Brown, PG,1991,31,655,0.046,-0.5,10.3,0.46,-2.2
Chad Gallagher, C,1991,32,2,1.442,0,66.8,1,16.3
Donald Hodge, C,1991,33,249,0.025,-1.8,10.5,0.487,-4
Myron Brown, PG,1991,34,4,0.032,0,14.7,0.75,-5
Mike Iuzzolino, PG,1991,35,122,0.058,-0.6,12.9,0.574,-2.8
Chris Corchiani, PG,1991,36,112,0.058,-0.2,11.7,0.543,-2.6
Elliot Perry, PG,1991,37,549,0.071,-0.4,14.3,0.525,-2.2
Jimmy Oliver, SG,1991,39,78,0.018,-0.8,9.9,0.463,-5.6
Doug Overton, PG,1991,40,499,0.016,-6.2,10,0.481,-5.4
Sean Green, SG,1991,41,84,-0.095,-1.1,9.7,0.421,-8.3
Lamont Strothers, SG,1991,43,13,-0.142,-0.2,5.8,0.379,-8.1
Bobby Phills, SG,1991,45,467,0.097,8.6,14.1,0.52,0.5
Richard Dumas, SF,1991,46,102,0.097,1,15.9,0.549,-0.3
Greg Sutton, PG,1991,49,168,0.024,-1,9.7,0.509,-4
Zan Tabak, C,1991,51,247,0.032,-2.2,11.3,0.516,-4.4
Anthony Jones, SG,1991,52,164,0.022,-0.7,9.8,0.449,-3.7
Shaquille O'Neal, C,1992,1,1207,0.208,74,26.4,0.586,5
Alonzo Mourning, C,1992,2,838,0.166,24,21.2,0.583,1.7
Christian Laettner, PF,1992,3,868,0.121,23.2,16.9,0.557,1.6
Jim Jackson, SF,1992,4,885,0.059,9.6,13.5,0.511,-0.7
LaPhonso Ellis, PF,1992,5,624,0.089,7.1,14.6,0.512,-0.4
Tom Gugliotta, PF,1992,6,763,0.082,18.7,15.9,0.509,1.1
Walt Williams, SF,1992,7,708,0.087,12.4,14.2,0.532,0.6
Todd Day, SG,1992,8,483,0.069,2.8,14.1,0.512,-1.1
Adam Keefe, PF,1992,10,617,0.116,4.9,12.9,0.562,-0.1
Robert Horry, PF,1992,11,1107,0.118,32,13.4,0.52,2.7
Harold Miner, SG,1992,12,200,0.053,-2,12.6,0.522,-4.1
Bryant Stith, SG,1992,13,586,0.086,5.8,12.8,0.531,-0.6
Malik Sealy, SF,1992,14,493,0.07,1.7,13.6,0.5,-1.4
Anthony Peeler, SG,1992,15,827,0.072,6.1,12.9,0.518,-0.8
Randy Woods, PG,1992,16,151,0.026,-0.4,11.6,0.465,-3.4
Doug Christie, SG,1992,17,827,0.102,25.4,14.6,0.535,1.9
Tracy Murray, SF,1992,18,659,0.096,1.4,14.6,0.539,-1.6
Don MacLean, SF,1992,19,319,0.067,-2.9,15.1,0.52,-3.7
Hubert Davis, SG,1992,20,685,0.088,0.7,11.8,0.566,-1.8
Jon Barry, SG,1992,21,821,0.129,9.8,14.7,0.572,0.8
Oliver Miller, C,1992,22,493,0.089,10.9,15.2,0.557,1.8
Lee Mayberry, PG,1992,23,496,0.036,-6.6,10.1,0.516,-4.5
Latrell Sprewell, SF,1992,24,913,0.077,21.7,15.1,0.516,0.4
Elmore Spencer, C,1992,25,157,0.001,-1.4,9.9,0.534,-4.1
Dave Johnson, SG,1992,26,59,-0.032,-0.9,7.5,0.428,-9.3
Byron Houston, PF,1992,27,214,0.069,-0.3,10.2,0.515,-2.4
Marlon Maxey, PF,1992,28,98,0.109,-0.5,15.6,0.584,-3.8
P.J. Brown, PF,1992,29,1089,0.128,28.6,14.1,0.516,1.4
Sean Rooks, C,1992,30,749,0.057,-2.7,12,0.518,-2.8
Reggie Smith, C,1992,31,66,0.051,-0.3,9.1,0.406,-5.6
Brent Price, PG,1992,32,418,0.082,1.6,13.3,0.57,-1.1
Corey Williams, PG,1992,33,39,0.037,-0.3,9.1,0.425,-5.6
Chris Smith, PG,1992,34,2,-0.02,0,0, ,-6.2
Tony Bennett, PG,1992,35,152,0.041,-0.9,9.5,0.48,-3.9
Duane Cooper, PG,1992,36,88,-0.032,-1.3,7.7,0.462,-8.6
Isaiah Morris, SF,1992,37,25,-0.022,-0.2,10.6,0.468,-7.9
Elmer Bennett, PG,1992,38,21,-0.095,-0.2,6.2,0.437,-8.1
Litterial Green, PG,1992,39,148,0.066,-0.8,11.6,0.491,-4.8
Popeye Jones, PF,1992,41,535,0.084,2.8,13.3,0.484,-1.1
Matt Geiger, C,1992,42,552,0.112,1.6,15.2,0.542,-1.5
Sasha Danilovic, SG,1992,43,75,0.087,0.7,11.7,0.562,-0.8
Chris King, SF,1992,45,103,0.023,-0.4,10.6,0.486,-2.7
Robert Werdann, C,1992,46,47,0.026,-0.3,9.8,0.426,-6
Darren Morningstar, C,1992,47,23,0.048,-0.2,8.9,0.504,-3.7
Brian Davis, SF,1992,48,68,0,-0.4,9.2,0.42,-6.5
Matt Fish, C,1992,50,50,0.058,-0.1,11.9,0.531,-3.1
Matt Steigenga, SF,1992,52,2,-0.126,0,7,0.307,-4
Chris Webber, PF,1993,1,831,0.132,45.9,20.9,0.513,3.9
Shawn Bradley, C,1993,2,832,0.1,12.3,16,0.5,0.5
Anfernee Hardaway, SG,1993,3,704,0.125,27.2,17.4,0.535,2.6
Jamal Mashburn, SF,1993,4,611,0.092,12.9,15.7,0.504,0.2
Isaiah Rider, SG,1993,5,563,0.061,3.6,14.7,0.526,-1.2
Calbert Cheaney, SG,1993,6,825,0.05,-0.7,11,0.502,-2.1
Bobby Hurley, PG,1993,7,269,-0.014,-5.8,8.1,0.443,-7.5
Vin Baker, PF,1993,8,791,0.088,10.4,16.3,0.522,-0.4
Rodney Rogers, SF,1993,9,866,0.085,13.8,14.4,0.527,0.5
Lindsey Hunter, PG,1993,10,937,0.068,9.5,12.1,0.484,-0.4
Allan Houston, SG,1993,11,839,0.094,9.9,14.9,0.546,-0.6
George Lynch, SF,1993,12,774,0.088,11.5,12.8,0.49,0.6
Terry Dehere, PG,1993,13,402,0.048,-2.6,12.7,0.53,-3.4
Scott Haskin, C,1993,14,27,0.087,0,11.3,0.515,-2.9
Doug Edwards, PF,1993,15,85,0.013,-0.6,8.4,0.449,-4.6
Rex Walters, SG,1993,16,335,0.066,-1.5,11.2,0.547,-3.3
Greg Graham, SG,1993,17,207,0.025,-1.6,10.6,0.498,-4.4
Luther Wright, C,1993,18,15,-0.064,-0.2,-0.4,0.384,-10.1
Acie Earl, C,1993,19,193,0.005,-3.1,10.6,0.46,-6.9
Scott Burrell, SF,1993,20,383,0.104,6.1,13.5,0.52,1.2
James Robinson, PG,1993,21,381,0.04,-1.2,11.2,0.494,-2.7
Chris Mills, SF,1993,22,568,0.105,8.8,13.3,0.517,0
Ervin Johnson, C,1993,23,845,0.107,8.7,12.2,0.534,0
Sam Cassell, PG,1993,24,993,0.141,25.4,19.5,0.544,1.4
Corie Blount, PF,1993,25,644,0.088,2.4,11.1,0.494,-1
Geert Hammink, C,1993,26,8,0.089,0,14,0.501,-8.4
Malcolm Mackey, C,1993,27,22,0.036,-0.2,12.6,0.395,-10.7
Lucious Harris, SG,1993,28,800,0.088,0.5,12.8,0.507,-1.9
Gheorghe Muresan, C,1993,30,307,0.136,2.5,18.1,0.594,-0.5
Evers Burns, PF,1993,31,23,0.02,-0.1,9.7,0.43,-4.8
Alphonso Ford, SG,1993,32,11,-0.153,-0.2,4.4,0.326,-9.9
Eric Riley, C,1993,33,186,0.066,-0.5,12.5,0.509,-3
Darnell Mee, SG,1993,34,40,-0.02,-0.1,6.5,0.362,-3.6
Ed Stokes, C,1993,35,4,-0.077,0,6.4,0.387,-5.4
Nick Van Exel, PG,1993,37,880,0.093,11.4,15.8,0.507,-0.4
Adonis Jordan, PG,1993,42,10,-0.015,-0.1,8,0.365,-7.7
Josh Grant, PF,1993,43,53,0.06,-0.1,11.7,0.494,-2.8
Bryon Russell, SF,1993,45,841,0.115,18.5,12.6,0.545,1.7
Richard Petruska, C,1993,46,22,-0.014,-0.2,12.3,0.535,-10.8
Chris Whitney, PG,1993,47,579,0.101,2,13.8,0.537,-1.2
Kevin Thompson, C,1993,48,14,-0.016,-0.1,4.9,0.437,-5.6
Mike Peplowski, C,1993,52,68,0.067,-0.2,9.8,0.562,-2.9
Glenn Robinson, SF,1994,1,172,0.077,-0.1,11,0.536,-2.2
Jason Kidd, PG,1994,2,1391,0.133,78.2,17.9,0.507,4.2
Grant Hill, SF,1994,3,1026,0.138,42.5,19,0.551,2.8
Donyell Marshall, PF,1994,4,957,0.113,19.1,16.8,0.516,1
Juwan Howard, PF,1994,5,1208,0.078,10.1,14.6,0.514,-0.9
Sharone Wright, C,1994,6,203,0.015,-4.1,12.8,0.493,-5.6
Lamond Murray, SF,1994,7,736,0.052,1.4,14.1,0.508,-1.7
Brian Grant, PF,1994,8,756,0.122,10.4,14.9,0.54,-0.1
Eric Montross, C,1994,9,465,0.048,-3,9.1,0.497,-3.4
Eddie Jones, SG,1994,10,954,0.147,45.1,16.7,0.554,3.5
Carlos Rogers, PF,1994,11,298,0.095,0.2,15.4,0.56,-1.8
Khalid Reeves, PG,1994,12,277,0.069,0.6,13.1,0.528,-1.6
Jalen Rose, SF,1994,13,923,0.081,11.9,15.3,0.53,-0.3
Yinka Dare, C,1994,14,110,-0.033,-2,6.2,0.441,-9.8
Eric Piatkowski, SG,1994,15,789,0.102,5.5,14,0.567,-0.5
